,text,airline_sentiment_score
196,billete,0
197,cerrado,0
198,iberia,-1
199,perdio,-1
200,maleta,-1
201,hace,-1
202,dias,-1
203,medicamentos,-1
204,adentro,-1
205,buenos,1
206,tiempos,1
207,b,1
208,avion,1
209,excelencia,1
210,volveremos,1
211,verlo,1
212,nuevo,1
213,ib,1
214,vergonzoso,-1
215,cancela,-1
216,vuelo,-1
217,chicagomadrid,-1
218,diciembre,-1
219,si,-1
220,viajamos,-1
221,par,-1
222,dicho,-1
223,ryanair,-1
224,actuado,-1
225,bi,-1
226,black,0
227,friday,0
228,tambien,0
229,iberia,0
230,pues,-1
231,tan,-1
232,desagradable,-1
233,gastaria,-1
234,dinero,-1
235,iberia,-1
236,pasajero,-1
237,sale,-1
238,puerta,-1
239,emergencia,-1
240,avion,-1
241,ryanair,-1
242,cansado,-1
243,esperar,-1
244,mas,-1
245,hora,-1
246,jajajajajja,0
247,llevate,0
248,pasaporte,0
249,tambien,0
250,lu,0
251,ayudas,0
252,difundir,0
253,favor,0
254,volado,0
255,vuelos,0
256,niki,0
257,operaba,0
258,air,0
259,berlin,0
260,habia,0
261,colaboracion,0
262,estre,0
263,atiende,-1
264,reclamaciones,-1
265,indemnizacion,-1
266,retraso,-1
267,superior,-1
268,tres,-1
269,horas,-1
270,pesar,-1
271,saber,-1
272,consta,-1
273,verguenza,-1
274,suena,1
275,hace,1
276,tiempo,1
277,llevo,1
278,barca,1
279,prat,1
280,amistoso,1
281,golfo,1
282,calera,0
283,iberia,0
284,apoya,0
285,tas,0
286,descenso,0
287,colista,0
288,transicion,0
289,promedio,0
290,ahora,0
291,mil,1
292,gracias,1
293,luis,1
294,placer,1
295,viajar,1
296,ryanair,1
297,nueva,1
298,politica,1
299,equipajes,1
300,ryanair,1
301,entrara,1
302,vigor,1
303,proximo,1
304,mes,1
305,hola,1
306,hecho,1
307,check,1
308,in,1
309,app,1
310,despues,1
311,meses,1
312,experiencia,1
313,sido,1
314,brutalmente,1
315,buena,1
316,hola,-1
317,vuelo,-1
318,vienamadrid,-1
319,va,-1
320,salir,-1
321,minutos,-1
322,retraso,-1
323,gracias,-1
324,billete,-1
325,ahorrar,1
326,sobrevalorado,1
327,ryanair,1
328,poniendo,1
329,ojitos,1
330,siento,-1
331,estafado,-1
332,deberian,-1
333,quitarles,-1
334,licencia,-1
335,companias,-1
336,mas,-1
337,serias,-1
338,ocupen,-1
339,lugar,-1
340,ryanair,-1
341,pide,-1
342,pilotos,-1
343,abandonen,-1
344,planes,-1
345,huelga,-1
346,puse,-1
347,reclamacion,-1
348,vez,-1
349,metio,-1
350,avion,-1
351,parecia,-1
352,primera,-1
353,guerra,-1
354,mundial,-1
355,felicitaciones,1
356,buen,1
357,despegue,1
358,veces,1
359,veo,1
360,spotters,1
361,zona,1
362,felices,1
363,fiestas,1
364,pena,1
365,venezolanos,1
366,podamos,1
367,volar,1
368,ustedes,1
369,experiencia,1
370,siempre,1
371,antonio,0
372,baldellou,0
373,nuevo,0
374,director,0
375,instalaciones,0
376,existentes,0
377,modernizaciones,0
378,schindler,0
379,iberia,0
380,recursos,0
381,huma,0
382,iberia,0
383,tripulante,0
384,cabina,0
385,pasajeros,0
386,primer,-1
387,vuelo,-1
388,vida,-1
389,perdido,-1
390,gracias,-1
391,ayuda,-1
392,worstflightcompany,-1
393,hoy,0
394,iberia,0
395,cumple,0
396,anos,0
397,primer,0
398,vuelo,0
399,felicidades,0
400,avgeek,0
401,pasionporlaaviacion,0
402,ryanair,-1
403,guarretes,-1
404,jajaja,-1
405,volaba,-1
406,cn,-1
407,aunque,-1
408,pagaran,-1
409,via,-1
410,iberia,0
411,ampliara,0
412,vuelos,0
413,semanales,0
414,buenos,0
415,aires,0
416,dos,0
417,asientos,0
418,juntos,0
419,pueden,0
420,explicarme,0
421,si,0
422,nueva,0
423,politica,0
424,iberia,0
425,fidelizar,0
426,clientes,0
427,si,0
428,puedo,0
429,arreglarlo,0
430,gracias,0
431,gracias,1
432,regalazo,1
433,navidad,1
434,upgrade,1
435,business,1
436,vuelo,1
437,horas,1
438,precio,1
439,idoya,0
440,esperemos,0
441,menos,0
442,ponen,0
443,parte,0
444,solucionarlo,0
445,buenas,1
446,noche,1
447,pues,-1
448,menudo,-1
449,timo,-1
450,verguenza,-1
451,dentro,-1
452,malo,-1
453,quedo,-1
454,aeropuerto,-1
455,maneja,-1
456,idioma,-1
457,puedas,-1
458,abrazar,-1
459,pronto,-1
460,ryanair,-1
461,united,-1
462,peores,-1
463,aerolineas,-1
464,segun,-1
465,consultora,-1
466,brintanica,-1
467,which,-1
468,mejor,0
469,iberia,0
470,habia,0
471,pasado,0
472,arrechera,0
473,aa,0
474,bello,0
475,salvador,0
476,diputados,0
477,abren,0
478,espacio,0
479,aereo,0
480,aerolineas,0
481,ryanair,0
482,mira,0
483,precios,0
484,madrid,0
485,ale,-1
486,gatwick,-1
487,iberia,-1
488,panda,-1
489,inutiles,-1
490,redomados,-1
491,viaje,1
492,semana,1
493,pasada,1
494,san,1
495,francisco,1
496,sirvio,1
497,subir,1
498,categoria,1
499,plus,1
500,manana,1
501,maleta,1
502,extra,1
503,reclama,0
504,billete,0
505,seguro,0
506,madre,-1
507,mia,-1
508,mana,-1
509,gilipollas,-1
510,dios,-1
511,mio,-1
512,hablando,-1
513,asi,-1
514,ingles,-1
515,parece,-1
516,azafatas,-1
517,iberia,-1
518,iberia,1
519,regala,1
520,smartphones,1
521,pasajeros,1
522,vuelo,1
523,chispa,1
524,revista,1
525,turismo,1
526,hoy,-1
527,aeropuerto,-1
528,ventana,-1
529,nadie,-1
530,sabia,-1
531,vuelos,-1
532,h,-1
533,hacemos,1
534,alcanzable,1
535,inalcanzable,1
536,ryanair,1
537,esperan,-1
538,renfe,-1
539,iberia,-1
540,suspender,-1
541,todas,-1
542,relaciones,-1
543,transporte,-1
544,cataluna,-1
545,exceso,1
546,malo,1
547,menos,1
548,viajar,1
549,holaeuropa,1
550,bienvenidos,1
551,quiero,1
552,disfrutar,1
553,ustedes,1
554,exper,1
555,pilotos,0
556,ryanair,0
557,alemania,0
558,haran,0
559,huelga,0
560,viernes,0
561,primera,0
562,historia,0
563,aerolinea,0
564,via,0
565,hoy,0
566,cumplen,0
567,anos,0
568,primer,0
569,vuelo,0
570,via,0
571,aniversario,0
572,claro,-1
573,ryanair,-1
574,q,-1
575,decian,-1
576,q,-1
577,iban,-1
578,pie,-1
579,resulta,-1
580,q,-1
581,cia,-1
582,q,-1
583,asco,1
584,tenia,1
585,hace,1
586,anos,1
587,hoy,1
588,siendo,1
589,smooth,1
590,haran,1
591,cambiar,1
592,opinion,1
593,dhl,1
594,coge,1
595,toro,1
596,tecnologia,1
597,cuernos,1
598,pues,-1
599,vale,-1
600,molt,-1
601,be,-1
602,pues,-1
603,adios,-1
604,recibo,-1
605,mail,-1
606,resumen,-1
607,tarjeta,-1
608,cinco,-1
609,horas,-1
610,wifi,-1
611,gracias,-1
612,iberia,-1
613,fijate,-1
614,pasa,-1
615,ruta,-1
616,aa,-1
617,deja,-1
618,hacer,-1
619,bcn,-1
620,ocupacion,-1
621,iberia,-1
622,beneficiada,-1
623,the,-1
624,latest,-1
625,australiner,-1
626,diario,-1
627,airbus,-1
628,iberia,-1
629,semanam,-1
630,puto,-1
631,ryanair,-1
632,vuelo,-1
633,cancelan,-1
634,pare,0
635,mundo,0
636,bajo,0
637,version,0
638,mejorada,0
639,viral,0
640,pasajero,0
641,ryanair,0
642,enfadado,0
643,sale,0
644,puerta,0
645,emergencia,0
646,avion,0
647,cansado,0
648,esperar,0
649,intento,0
650,b,0
651,pueden,-1
652,ayudarme,-1
653,maleta,-1
654,perdida,-1
655,iberia,-1
656,favor,-1
657,hacen,-1
658,buscarla,-1
659,telefono,-1
660,reclamacion,-1
661,llega,0
662,primer,0
663,duelodemarcas,0
664,marketingdirecto,0
665,ryanair,0
666,vs,0
667,easyjet,0
668,ganara,0
669,opcion,0
670,puede,0
671,hacer,0
672,mediante,0
673,tarjeta,0
674,credito,0
675,debito,0
676,llamando,0
677,numero,0
678,facilitaron,0
679,doy,-1
680,rt,-1
681,parece,-1
682,cuarta,-1
683,exigan,-1
684,rt,-1
685,hacer,-1
686,teneis,-1
687,suerte,-1
688,ser,-1
689,unicos,-1
690,practicamente,-1
691,volais,-1
692,melilla,-1
693,maleta,-1
694,llegado,-1
695,dias,-1
696,tarde,-1
697,grande,1
698,supergex,1
699,mejor,1
700,presentacion,1
701,visto,1
702,vuelos,1
703,realizada,1
704,hoy,1
705,ib,1
706,x,1
707,comandante,1
708,f,1
709,sanz,1
710,felicidades,1
711,hecho,0
712,solo,0
713,hecho,0
714,pregunta,0
715,explicado,0
716,mensaje,0
717,asinomas,-1
718,pilotos,-1
719,amenazan,-1
720,nuevas,-1
721,protestas,-1
722,ryanair,-1
723,europa,-1
724,resulta,0
725,dificil,0
726,creer,0
727,tipo,0
728,babia,0
729,respecto,0
730,diseno,0
731,cia,0
732,iberia,0
733,ejecutado,0
734,puente,-1
735,aereo,-1
736,am,-1
737,aqui,-1
738,seguimos,-1
739,enganchados,-1
740,finger,-1
741,pueden,-1
742,hacer,-1
743,trabajo,-1
744,vol,-1
745,volado,-1
746,cn,-1
747,companiaexperiencia,-1
748,unica,-1
749,xasus,-1
750,pasajerosse,-1
751,l,-1
752,recomiendo,-1
753,xa,-1
754,qtomen,-1
755,note,-1
756,empi,-1
757,noviembre,0
758,envie,0
759,documentos,0
760,mail,0
761,confirme,0
762,recibidos,0
763,peor,-1
764,asunto,-1
765,q,-1
766,miente,-1
767,dia,-1
768,dicen,-1
769,q,-1
770,llego,-1
771,londres,-1
772,q,-1
773,todavia,-1
774,madrid,-1
775,crei,-1
776,q,-1
777,mas,-1
778,confiables,-1
779,representante,0
780,iberia,0
781,anuncia,0
782,llegada,0
783,nicaragua,0
784,reunion,0
785,representantes,0
786,gobierno,0
787,secto,0
788,viajar,-1
789,ryanair,-1
790,seria,-1
791,aerolinea,-1
792,cualquiera,-1
793,si,-1
794,plastas,-1
795,ventas,-1
796,bordo,-1
797,altavoz,-1
798,taco,-1
799,llego,-1
800,santo,-1
801,domingo,-1
802,espero,-1
803,mas,-1
804,hora,-1
805,maletas,-1
806,resulta,-1
807,escala,-1
808,primero,0
809,ano,0
810,london,0
811,si,-1
812,siguen,-1
813,mirando,-1
814,historial,-1
815,tambien,-1
816,contacte,-1
817,hace,-1
818,meses,-1
819,preguntando,-1
820,robaron,-1
821,nunca,-1
822,contestarona,-1
823,contrateis,0
824,dan,0
825,servicio,0
826,atencion,0
827,cliente,0
828,pesimo,0
829,aqui,-1
830,seguimos,-1
831,seguimos,-1
832,esperando,-1
833,va,-1
834,manifestarse,-1
835,alguien,-1
836,hola,0
837,puedo,0
838,transportar,0
839,nutella,0
840,equipaje,0
841,viajo,0
842,iberia,0
843,gracias,0
844,hola,0
845,hacer,0
846,cin,0
847,app,0
848,manda,0
849,email,0
850,tarjeta,0
851,formato,0
852,wallet,0
853,pass,0
854,pass,0
855,book,0
856,par,0
857,aerolineaslowcost,-1
858,estara,-1
859,llegando,-1
860,demasiado,-1
861,lejos,-1
862,personal,-1
863,tierra,-1
864,ryanair,-1
865,espana,-1
866,convoca,-1
867,huelga,-1
868,diciembre,-1
869,podeis,-1
870,creer,-1
871,pago,-1
872,vuelo,-1
873,iberia,-1
874,sentarme,-1
875,unico,-1
876,asiento,-1
877,roto,-1
878,impresionante,-1
879,mierda,-1
880,puede,-1
881,ser,-1
882,veces,-1
883,viajar,-1
884,iberia,-1
885,cojo,-1
886,avion,-1
887,tiempo,-1
888,reserva,-1
889,asiento,-1
890,ll,-1
891,creo,-1
892,dejaron,-1
893,queriendo,-1
894,duenos,-1
895,ryanair,-1
896,metan,-1
897,culo,-1
898,merecer,-1
899,merecenme,-1
900,da,-1
901,iberia,1
902,expandira,1
903,verano,1
904,frecuencia,1
905,vuelos,1
906,puertorico,1
907,septiembre,-1
908,inaugura,-1
909,linea,-1
910,aerea,-1
911,madridbarcelona,-1
912,felices,-1
913,anos,-1
914,volando,-1
915,mas,-1
916,chrome,-1
917,ultimas,-1
918,versiones,-1
919,firefox,-1
920,safari,-1
921,mac,-1
922,web,-1
923,principal,-1
924,inicia,-1
925,sesion,-1
926,despues,-1
927,si,-1
928,responden,-1
929,demandao,-1
930,level,-1
931,peor,-1
932,porqueria,-1
933,iberia,-1
934,hace,-1
935,cargo,-1
936,hola,0
937,puedo,0
938,sumar,0
939,km,0
940,vuelos,0
941,iberia,0
942,pagina,0
943,permite,0
944,adresse,0
945,pendientes,0
946,puedo,-1
947,viajar,-1
948,vuelta,-1
949,avisando,-1
950,puedo,-1
951,volar,-1
952,ida,-1
953,alguna,-1
954,solucion,-1
955,genera,-1
956,cero,-1
957,perjuicios,-1
958,gracias,-1
959,asi,-1
960,agradece,-1
961,iberia,-1
962,tripulantes,-1
963,vuelen,-1
964,dia,-1
965,navidad,-1
966,alejados,-1
967,familias,-1
968,triste,-1
969,paquetito,-1
970,ryanair,1
971,analizara,1
972,consell,1
973,ayudas,1
974,firmas,1
975,preve,1
976,crecer,1
977,valencia,1
978,via,1
979,loginewses,-1
980,iberia,-1
981,lanza,-1
982,nueva,-1
983,ruta,-1
984,managua,-1
985,octubre,-1
986,hola,-1
987,iberia,-1
988,justo,-1
989,corte,-1
990,vuelos,-1
991,barcelona,-1
992,mmmm,-1
993,gracias,-1
994,maravillosa,-1
995,organizacion,-1
996,media,-1
997,hora,-1
998,espera,-1
999,maletas,-1
1000,aqui,-1
1001,segu,-1
1002,comun,-1
1003,jamas,-1
1004,elegir,-1
1005,iberia,-1
1006,viaje,-1
1007,verdad,-1
1008,sinverguenzas,-1
1009,timadores,-1
1010,caraduras,-1
1011,gana,-1
1012,nadie,-1
1013,felicito,1
1014,jose,1
1015,facil,1
1016,solucion,1
1017,pagas,1
1018,mas,1
1019,vuela,1
1020,compania,1
1021,m,1
1022,asi,-1
1023,proximidad,-1
1024,teclado,-1
1025,eh,-1
1026,si,-1
1027,animalistas,-1
1028,hariais,-1
1029,mas,-1
1030,rt,-1
1031,si,-1
1032,pasajeros,-1
1033,vuelo,-1
1034,hoy,-1
1035,comunican,-1
1036,dos,-1
1037,tarde,-1
1038,opcion,-1
1039,volar,-1
1040,dia,-1
1041,manana,-1
1042,criticamos,0
1043,luego,0
1044,volamos,0
1045,low,0
1046,costdudo,0
1047,piloto,0
1048,tripulacion,0
1049,si,1
1050,si,1
1051,verdad,1
1052,megustavolar,1
1053,megustavolariberia,1
1054,pues,-1
1055,respuesta,-1
1056,lavais,-1
1057,manos,-1
1058,cliente,-1
1059,den,-1
1060,iberi,-1
1061,hecho,-1
1062,tres,-1
1063,veces,-1
1064,enviando,-1
1065,correo,-1
1066,direccion,-1
1067,indicada,-1
1068,oexvy,-1
1069,nunca,-1
1070,obtuve,-1
1071,resp,-1
1072,pregunto,-1
1073,si,-1
1074,alguien,-1
1075,iberia,-1
1076,air,-1
1077,canada,-1
1078,estaran,-1
1079,buscando,-1
1080,maleta,-1
1081,estaran,-1
1082,tranquilamente,-1
1083,preparandose,-1
1084,nochevieja,-1
1085,queria,0
1086,saber,0
1087,si,0
1088,verdad,0
1089,ib,0
1090,hace,0
1091,escala,0
1092,sdq,0
1093,llegar,0
1094,ccs,0
1095,compre,0
1096,vuelo,0
1097,madrid,0
1098,viernes,0
1099,h,0
1100,sale,0
1101,ida,0
1102,vuelta,0
1103,llamen,-1
1104,cgt,-1
1105,cualquiera,-1
1106,veces,-1
1107,pasado,-1
1108,incluso,-1
1109,reservar,-1
1110,agencia,-1
1111,logitravel,-1
1112,cancelaron,-1
1113,viaje,-1
1114,podian,-1
1115,coger,-1
1116,tarifa,-1
1117,dan,-1
1118,ideas,-1
1119,volaris,-1
1120,vivaaerobus,-1
1121,calafia,-1
1122,senores,-1
1123,intenten,-1
1124,entender,-1
1125,motivo,-1
1126,reclamacion,-1
1127,emitir,-1
1128,respuestas,-1
1129,estandar,-1
1130,debo,-1
1131,pagar,-1
1132,ahora,0
1133,ademas,0
1134,sacado,0
1135,movida,0
1136,level,0
1137,asi,0
1138,igual,0
1139,q,-1
1140,servicio,-1
1141,esencial,-1
1142,ahora,-1
1143,adelante,-1
1144,cualquier,-1
1145,paro,-1
1146,sera,-1
1147,calificado,-1
1148,asi,-1
1149,acabo,-1
1150,derec,-1
1151,espero,-1
1152,resuelva,-1
1153,tema,-1
1154,cuanto,-1
1155,gracias,-1
1156,puedo,-1
1157,volver,-1
1158,asientos,-1
1159,gratis,-1
1160,parece,-1
1161,lleno,-1
1162,avion,-1
1163,ibamos,-1
1164,coger,-1
1165,est,-1
1166,holaargentina,0
1167,quiero,0
1168,viajar,0
1169,tampoco,-1
1170,cuenta,-1
1171,asignarte,-1
1172,asiento,-1
1173,preferencias,-1
1174,viajero,-1
1175,pues,-1
1176,momento,-1
1177,siguen,-1
1178,aparecer,-1
1179,articulos,-1
1180,necesito,-1
1181,asi,-1
1182,si,-1
1183,manana,-1
1184,buscare,-1
1185,car,-1
1186,podium,0
1187,podcast,0
1188,iberia,0
1189,alian,0
1190,ficcion,0
1191,sonora,0
1192,aerolinea,0
1193,momentos,0
1194,propio,0
1195,montaje,0
1196,jajajajaj,0
1197,fraude,-1
1198,denuncian,-1
1199,ryanair,-1
1200,fraude,-1
1201,ley,-1
1202,casa,-1
1203,dato,0
1204,canteranos,0
1205,pasaron,0
1206,mal,0
1207,jugaron,0
1208,cobresal,0
1209,iberia,0
1210,copa,0
1211,chiledebe,0
1212,venir,0
1213,avios,-1
1214,cara,-1
1215,cemento,-1
1216,armado,-1
1217,ryanair,1
1218,busca,1
1219,convertirse,1
1220,amazon,1
1221,viajes,1
1222,oficinas,1
1223,madrid,1
1224,ryanair,1
1225,inaugurado,1
1226,parece,-1
1227,mal,-1
1228,q,-1
1229,servicio,-1
1230,atencion,-1
1231,cliente,-1
1232,respeto,-1
1233,reclamaciones,-1
1234,gestionando,-1
1235,tan,-1
1236,lent,-1
1237,call,-1
1238,center,-1
1239,atiende,-1
1240,nadie,-1
1241,canse,-1
1242,llamar,-1
1243,necesito,-1
1244,q,-1
1245,contacten,-1
1246,conmigo,-1
1247,solucionar,-1
1248,problema,-1
1249,primer,-1
1250,duelodemarcas,-1
1251,ryanair,-1
1252,vs,-1
1253,easyjet,-1
1254,via,-1
1255,pues,-1
1256,reclame,-1
1257,dano,-1
1258,equipaje,-1
1259,hicieron,-1
1260,caso,-1
1261,rellenar,-1
1262,formula,-1
1263,dias,-1
1264,darte,-1
1265,respuesta,-1
1266,dinero,-1
1267,deberian,-1
1268,haberte,-1
1269,quitado,-1
1270,cobrar,-1
1271,hola,-1
1272,problema,-1
1273,tecnicos,-1
1274,ocurre,-1
1275,retraso,-1
1276,hora,-1
1277,stanstead,-1
1278,novio,-1
1279,llega,-1
1280,conexion,-1
1281,cansado,-1
1282,esperar,-1
1283,pasajero,-1
1284,sale,-1
1285,sienta,-1
1286,ala,-1
1287,avion,-1
1288,unas,1
1289,galletas,1
1290,palencia,1
1291,acompanar,1
1292,aguilardecampoo,1
1293,estan,0
1294,regalando,0
1295,billetes,0
1296,avion,0
1297,pasa,0
1298,historias,0
1299,intagram,0
1300,billetes,0
1301,ryanair,0
1302,gente,1
1303,obesa,1
1304,hace,1
1305,dieta,1
1306,salvarse,1
1307,vida,1
1308,obviamente,1
1309,haran,1
1310,pasajeros,1
1311,fin,0
1312,semana,0
1313,pasa,0
1314,aniversarioiberia,0
1315,vuelo,-1
1316,asturias,-1
1317,madrid,-1
1318,dejan,-1
1319,subir,-1
1320,equiaje,-1
1321,mano,-1
1322,viajeros,-1
1323,madrid,-1
1324,iberia,-1
1325,ocu,-1
1326,felizjueves,-1
1327,sinverguenzas,-1
1328,toca,-1
1329,volar,-1
1330,ryanair,-1
1331,otgala,-1
1332,famoso,-1
1333,desastres,-1
1334,servicioalcliente,-1
1335,caso,-1
1336,hizo,-1
1337,perder,-1
1338,importante,-1
1339,conferencia,-1
1340,can,-1
1341,super,1
1342,utile,1
1343,ryanair,1
1344,viaggiare,1
1345,meetworld,1
1346,despues,-1
1347,minutos,-1
1348,espera,-1
1349,iberia,-1
1350,digan,-1
1351,soluciona,-1
1352,problema,-1
1353,precio,-1
1354,si,1
1355,super,1
1356,puntual,1
1357,quieres,-1
1358,envie,-1
1359,mensaje,-1
1360,directo,-1
1361,intentando,-1
1362,comprar,-1
1363,billetes,-1
1364,llevo,-1
1365,horas,-1
1366,esperando,-1
1367,respue,-1
1368,vuelo,0
1369,madridlondres,0
1370,gracias,0
1371,feliz,1
1372,ano,1
1373,nuevo,1
1374,iberia,1
1375,acuerdo,0
1376,debian,0
1377,tener,0
1378,calculo,0
1379,co,0
1380,tarifa,0
1381,low,0
1382,cost,0
1383,supuesto,0
1384,funciona,-1
1385,tema,-1
1386,equipaje,-1
1387,perdido,-1
1388,sorprende,-1
1389,prioridad,-1
1390,caso,-1
1391,sirva,-1
1392,na,-1
1393,muchas,1
1394,felicidades,1
1395,seguir,1
1396,volando,1
1397,alto,1
1398,verguenza,-1
1399,hacer,-1
1400,check,-1
1401,in,-1
1402,online,-1
1403,pais,-1
1404,destino,-1
1405,xq,-1
1406,web,-1
1407,funciona,-1
1408,gracias,-1
1409,x,-1
1410,corregir,-1
1411,maravillosa,-1
1412,aventura,-1
1413,viajar,-1
1414,avion,-1
1415,bici,-1
1416,capitulo,-1
1417,sacar,0
1418,ryanair,0
1419,ofertas,0
1420,vuelos,0
1421,poner,0
1422,nunca,0
1423,malaga,0
1424,aeropuerto,0
1425,salida,0
1426,si,0
1427,poblachos,0
1428,valladolid,0
1429,vigo,0
1430,risa,0
1431,hola,0
1432,cambiado,0
1433,fecha,0
1434,billete,0
1435,principio,0
1436,problema,0
1437,nuevos,0
1438,billetes,0
1439,c,0
1440,duda,0
1441,exceptuando,0
1442,personas,0
1443,mayores,0
1444,gente,0
1445,hijos,0
1446,pequenos,0
1447,gente,0
1448,paga,0
1449,priority,0
1450,ryanair,0
1451,hablando,0
1452,minutos,-1
1453,nuevo,-1
1454,espera,-1
1455,siempre,-1
1456,viaje,-1
1457,iberiaahora,-1
1458,profundo,-1
1459,dolor,-1
1460,puedo,-1
1461,viajar,-1
1462,espana,-1
1463,altos,-1
1464,costos,-1
1465,pasajetragico,-1
1466,desamparo,-1
1467,conseguire,1
1468,hazana,1
1469,volar,1
1470,tenerife,1
1471,sur,1
1472,ryanair,1
1473,encontrarme,1
1474,nadie,1
1475,vacilar,-1
1476,toda,-1
1477,pinta,-1
1478,ser,-1
1479,vueling,-1
1480,ayudanos,-1
1481,recuperar,-1
1482,equipaje,-1
1483,olvidaron,-1
1484,madrid,-1
1485,dado,-1
1486,mayor,-1
1487,informacion,-1
1488,polemica,-1
1489,servida,-1
1490,buen,-1
1491,dia,-1
1492,seguimos,-1
1493,esperando,-1
1494,devuelvan,-1
1495,valija,-1
1496,perdieron,-1
1497,sabado,-1
1498,vuelo,-1
1499,ib,-1
1500,recuerdos,-1
1501,viaje,-1
1502,podian,-1
1503,dar,-1
1504,comerciales,-1
1505,q,-1
1506,venden,-1
1507,distintos,-1
1508,puntos,-1
1509,venta,-1
1510,iban,-1
1511,vuelos,-1
1512,regulares,-1
1513,ejem,-1
1514,regulares,-1
1515,ejem,-1
1516,ryr,-1
1517,buena,-1
1518,aceptacion,-1
1519,po,-1
1520,iberia,-1
1521,va,-1
1522,ser,-1
1523,mismo,-1
1524,ano,-1
1525,viene,-1
1526,aviones,-1
1527,gastan,-1
1528,combustible,-1
1529,stop,-1
1530,calefaccion,-1
1531,infierno,-1
1532,ryanair,-1
1533,att,-1
1534,cliente,-1
1535,favor,-1
1536,eficacia,-1
1537,merci,-1
1538,pues,1
1539,ryanair,1
1540,parece,1
1541,sigue,1
1542,comprando,1
1543,aviones,1
1544,ahora,1
1545,nuevisimo,1
1546,ademas,-1
1547,aqui,-1
1548,mostrador,-1
1549,nadie,-1
1550,ayude,-1
1551,pueda,-1
1552,dar,-1
1553,idea,-1
1554,q,-1
1555,q,0
1556,tal,0
1557,queria,0
1558,saber,0
1559,si,0
1560,alcomprar,0
1561,billete,0
1562,clase,0
1563,turista,0
1564,luego,0
1565,puedo,0
1566,pasarlo,0
1567,bussines,0
1568,entonces,0
1569,espana,0
1570,distancias,0
1571,comenzaron,0
1572,medirse,0
1573,tiempo,0
